home_elo,away_elo,elo_diff,home_win_rate,away_win_rate,win_rate_diff,home_avg_goals,away_avg_goals,avg_goals_diff,home_avg_goals_against,away_avg_goals_against,avg_goals_against_diff,home_last5_win_rate,away_last5_win_rate,last5_win_rate_diff,home_last5_goal_diff,away_last5_goal_diff,last5_goal_diff_diff,h2h_matches,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,neutral,tournament_weight,match_id,date,home_team,away_team,home_score,away_score,tournament,target,target_label
1526.7805095515953,1368.0514014512364,158.72910810035887,0.4090909090909091,0.0,0.4090909090909091,3.090909090909091,0.42857142857142855,2.6623376623376624,2.409090909090909,6.714285714285714,-4.305194805194805,0.6,0.0,0.6,3.2,-5.0,8.2,3,3,0,0,28,1,0,0.8,35,1885-02-28,england,northern ireland,4,0,british home championship,H,2
1541.4359761732612,1426.962034987929,114.47394118533225,0.43478260869565216,0.2222222222222222,0.21256038647342995,3.130434782608696,1.4444444444444444,1.6859903381642514,2.3043478260869565,3.2777777777777777,-0.9734299516908211,0.6,0.2,0.39999999999999997,2.6,-0.8,3.4000000000000004,6,4,2,0,17,9,0,0.8,36,1885-03-14,england,wales,1,1,british home championship,D,1
1678.2060540092393,1353.3959348295705,324.81011917966885,0.8260869565217391,0.0,0.8260869565217391,3.8260869565217392,0.375,3.4510869565217392,1.1304347826086956,6.375,-5.244565217391305,1.0,0.0,1.0,2.6,-4.4,7.0,1,1,0,0,5,0,0,0.8,37,1885-03-14,scotland,northern ireland,8,2,british home championship,H,2
1536.3470850879032,1686.7545213434541,-150.40743625555092,0.4166666666666667,0.8333333333333334,-0.4166666666666667,3.0416666666666665,4.0,-0.9583333333333335,2.25,1.1666666666666667,1.0833333333333333,0.6,1.0,-0.4,2.8,3.6,-0.8000000000000003,13,2,9,2,23,43,0,0.8,38,1885-03-21,england,scotland,1,1,british home championship,D,1
1432.050926073287,1680.2305501548778,-248.17962408159087,0.21052631578947367,0.8,-0.5894736842105264,1.4210526315789473,3.88,-2.4589473684210525,3.1578947368421053,1.16,1.9978947368421054,0.2,0.8,-0.6000000000000001,-0.2,3.0,-3.2,9,0,9,0,3,40,0,0.8,39,1885-03-23,wales,scotland,1,8,british home championship,A,0
1344.8474674953557,1419.679010415283,-74.83154291992741,0.0,0.2,-0.2,0.5555555555555556,1.4,-0.8444444444444443,6.555555555555555,3.4,3.1555555555555554,0.0,0.2,-0.2,-5.6,-1.6,-3.9999999999999996,3,0,2,1,2,14,0,0.8,40,1885-04-11,northern ireland,wales,2,8,british home championship,A,0
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,41,1885-11-28,united states,canada,0,1,friendly,A,0
1444.8914055699918,1319.635072340647,125.25633322934482,0.23809523809523808,0.0,0.23809523809523808,1.7142857142857142,0.7,1.0142857142857142,3.3333333333333335,6.7,-3.3666666666666667,0.2,0.0,0.2,-1.6,-5.8,4.199999999999999,4,3,0,1,22,4,0,0.8,42,1886-02-27,wales,northern ireland,5,0,british home championship,H,2
1300.7903419209456,1542.8710562764795,-242.08071435553393,0.0,0.4,-0.4,0.6363636363636364,2.96,-2.3236363636363637,6.545454545454546,2.2,4.345454545454546,0.0,0.4,-0.4,-5.6,1.4,-7.0,4,0,4,0,1,32,0,0.8,43,1886-03-13,northern ireland,england,1,6,british home championship,A,0
1289.336868092482,1692.6024658128817,-403.2655977203997,0.0,0.8076923076923077,-0.8076923076923077,0.6666666666666666,4.038461538461538,-3.371794871794872,6.5,1.1538461538461537,5.346153846153847,0.0,0.8,-0.8,-5.2,3.4,-8.6,2,0,2,0,2,13,0,0.8,44,1886-03-20,northern ireland,scotland,2,7,british home championship,A,0
1697.750028877076,1554.324530104943,143.42549877213287,0.8148148148148148,0.4230769230769231,0.3917378917378917,4.148148148148148,3.076923076923077,1.0712250712250708,1.1851851851851851,2.1538461538461537,-0.9686609686609686,0.8,0.6,0.20000000000000007,4.2,2.6,1.6,14,9,2,3,44,24,0,0.8,45,1886-03-27,scotland,england,1,1,british home championship,D,1
1463.7361359896931,1560.5782502856753,-96.84211429598213,0.2727272727272727,0.4074074074074074,-0.13468013468013468,1.8636363636363635,3.0,-1.1363636363636365,3.1818181818181817,2.111111111111111,1.0707070707070705,0.4,0.4,0.0,0.2,1.8,-1.6,7,2,4,1,10,18,0,0.8,46,1886-03-29,wales,england,1,3,british home championship,A,0
